root@OpenWrt:~# ps -w
  PID USER       VSZ STAT COMMAND
    1 root      1876 S    /sbin/procd
    2 root         0 SW   [kthreadd]
    3 root         0 SW   [ksoftirqd/0]
    6 root         0 SW   [migration/0]
    7 root         0 SW   [migration/1]
    9 root         0 SW   [ksoftirqd/1]
   10 root         0 SW   [kworker/0:1]
   11 root         0 SW<  [khelper]
   12 root         0 SW   [kworker/u:1]
   67 root         0 SW   [sync_supers]
   69 root         0 SW   [bdi-default]
   71 root         0 SW<  [kblockd]
   79 root         0 SW   [khubd]
   99 root         0 SW   [skbFreeTask]
  100 root         0 SW   [bcmFapDrv]
  101 root         0 SW<  [bpm]
  119 root         0 SWN  [kswapd0]
  120 root         0 SW   [fsnotify_mark]
  122 root         0 SW<  [crypto]
  134 root         0 SW<  [kthrotld]
  152 root         0 SW   [mtdblock0]
  158 root         0 SW   [mtdblock1]
  163 root         0 SW   [mtdblock2]
  168 root         0 SW   [mtdblock3]
  173 root         0 SW   [mtdblock4]
  178 root         0 SW   [mtdblock5]
  183 root         0 SW   [mtdblock6]
  188 root         0 SW   [mtdblock7]
  201 root         0 SW<  [linkwatch]
  211 root         0 SW<  [deferwq]
  212 root         0 SW   [kworker/1:1]
  256 root         0 SWN  [jffs2_gcd_mtd2]
  409 root      1532 S    /sbin/ubusd
  497 root      4596 S    /usr/sbin/cgrulesengd -n -Q -u root
  618 root         0 SW   [bcmxtm_rx]
  650 root         0 SW   [bcmFlwStatsTask]
  656 root         0 SW   [fapGsoLoopBk]
  657 root         0 SW   [kpAliveWatchdog]
  659 root         0 SW   [bcmsw_rx]
  694 root         0 SW   [bcmsw_timer]
  696 root         0 SW   [bcmsw]
  780 root         0 SW   [wl0-kthrd]
  783 root         0 SW   [wfd0-thrd]
 2305 root         0 SW<  [led_shift_queue]
 2334 root      3372 S    {status-led-even} /usr/bin/lua /sbin/status-led-eventing.lua
 2338 root      4368 S    {ledfw.lua} /usr/bin/lua /sbin/ledfw.lua
 2357 root      1500 S    /sbin/logd -S 64
 2368 root      6308 S    /usr/bin/swmdk
 2408 root      2108 S    /usr/bin/bcmubusbridge
 2423 root      4576 S    lua /usr/bin/hostmanager.lua
 2996 root     14512 S    hostapd -bund -p /var/run/hostapd.pid -e /tmp/hostapd.env
 3010 root         0 SW   [kworker/1:2]
 3018 root         0 SW   [kworker/0:2]
 3134 root         0 SW   [dsl0]
 3587 root      2128 S    /sbin/netifd
 3639 root      2000 S <  /usr/sbin/conntrackd -C /etc/conntrackd/conntrackd.conf
